"AnnoA","CorsoTIPO","ClasseNUMERO","ClasseNOME","DiplomaTipo","Sesso","nImm"
"2023/2024","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo classico","M",92
"2023/2024","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo delle scienze umane","M",147
"2023/2024","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo linguistico","M",90
"2023/2024","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo musicale e coreutico","M",5
"2023/2024","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo scientifico","M",837
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Altro diploma","F",49
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione professionale","F",228
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione tecnica","F",185
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo artistico","F",23
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo classico","F",158
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo delle scienze umane","F",367
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo linguistico","F",155
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo musicale e coreutico","F",4
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo scientifico","F",614
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Altro diploma","M",39
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione professionale","M",84
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione tecnica","M",175
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo artistico","M",7
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo classico","M",30
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo delle scienze umane","M",32
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo linguistico","M",27
