"AnnoA","CorsoTIPO","ClasseNUMERO","ClasseNOME","DiplomaTipo","Sesso","nImm"
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Diploma di istruzione tecnica","F",1650
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo artistico","F",158
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo classico","F",604
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo delle scienze umane","F",1665
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo linguistico","F",823
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo musicale e coreutico","F",20
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo scientifico","F",2321
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Altro diploma","M",229
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Diploma di istruzione professionale","M",564
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Diploma di istruzione tecnica","M",1035
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo artistico","M",20
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo classico","M",100
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo delle scienze umane","M",148
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo linguistico","M",84
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo musicale e coreutico","M",5
"2022/2023","Laurea - dm 270/04","L/SNT1","Professioni sanitarie infermieristiche e professione sanitaria ostetrica","Liceo scientifico","M",934
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Altro diploma","F",48
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione professionale","F",198
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione tecnica","F",164
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo artistico","F",17
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo classico","F",139
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo delle scienze umane","F",339
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo linguistico","F",133
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo musicale e coreutico","F",4
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo scientifico","F",554
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Altro diploma","M",30
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione professionale","M",80
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Diploma di istruzione tecnica","M",149
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo artistico","M",4
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo classico","M",34
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo delle scienze umane","M",27
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo linguistico","M",27
"2022/2023","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo scientifico","M",538
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Altro diploma","F",72
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione professionale","F",176
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione tecnica","F",305
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo artistico","F",16
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo classico","F",113
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo delle scienze umane","F",142
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo linguistico","F",144
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo musicale e coreutico","F",2
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo scientifico","F",537
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Altro diploma","M",55
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione professionale","M",124
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione tecnica","M",259
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo artistico","M",3
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo classico","M",34
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo delle scienze umane","M",21
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo linguistico","M",31
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo musicale e coreutico","M",3
"2022/2023","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo scientifico","M",427
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Altro diploma","F",11
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione professionale","F",78
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione tecnica","F",71
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo artistico","F",4
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo classico","F",17
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo delle scienze umane","F",78
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo linguistico","F",35
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo scientifico","F",68
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Altro diploma","M",9
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione professionale","M",54
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione tecnica","M",115
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo artistico","M",1
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo classico","M",9
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo delle scienze umane","M",12
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo linguistico","M",9
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo musicale e coreutico","M",1
"2022/2023","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo scientifico","M",89
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Altro diploma","F",234
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione professionale","F",184
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione tecnica","F",672
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo artistico","F",587
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo classico","F",540
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo delle scienze umane","F",442
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo linguistico","F",507
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo musicale e coreutico","F",20
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo scientifico","F",319
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Altro diploma","M",109
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione professionale","M",90
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione tecnica","M",297
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo artistico","M",103
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo classico","M",143
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo delle scienze umane","M",98
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo linguistico","M",91
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo musicale e coreutico","M",10
"2022/2023","Laurea - dm 270/04","L-01","Beni culturali","Liceo scientifico","M",189
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Altro diploma","F",166
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione professionale","F",127
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione tecnica","F",401
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo artistico","F",22
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo classico","F",857
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo delle scienze umane","F",268
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo linguistico","F",317
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo musicale e coreutico","F",3
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo scientifico","F",2657
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Altro diploma","M",91
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione professionale","M",64
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione tecnica","M",293
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo artistico","M",2
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo classico","M",176
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo delle scienze umane","M",37
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo linguistico","M",37
"2022/2023","Laurea - dm 270/04","L-02","Biotecnologie","Liceo scientifico","M",1274
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Altro diploma","F",187
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione professionale","F",193
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione tecnica","F",469
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo artistico","F",355
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo classico","F",332
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo delle scienze umane","F",344
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo linguistico","F",652
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo musicale e coreutico","F",58
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo scientifico","F",321
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Altro diploma","M",142
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione professionale","M",130
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Diploma di istruzione tecnica","M",360
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo artistico","M",106
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo classico","M",127
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo delle scienze umane","M",91
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo linguistico","M",145
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo musicale e coreutico","M",17
"2022/2023","Laurea - dm 270/04","L-03","Discipline delle arti figurative della musica dello spettacolo e della moda","Liceo scientifico","M",282
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Altro diploma","F",283
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione professionale","F",100
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione tecnica","F",416
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo artistico","F",347
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo classico","F",233
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo delle scienze umane","F",151
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo linguistico","F",274
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo musicale e coreutico","F",4
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo scientifico","F",657
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Altro diploma","M",138
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione professionale","M",55
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Diploma di istruzione tecnica","M",330
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo artistico","M",125
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo classico","M",77
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo delle scienze umane","M",37
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo linguistico","M",49
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo musicale e coreutico","M",1
"2022/2023","Laurea - dm 270/04","L-04","Disegno industriale","Liceo scientifico","M",374
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Altro diploma","F",85
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione professionale","F",101
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione tecnica","F",188
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo artistico","F",114
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo classico","F",524
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo delle scienze umane","F",570
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo linguistico","F",321
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo musicale e coreutico","F",15
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo scientifico","F",445
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Altro diploma","M",62
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione professionale","M",105
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Diploma di istruzione tecnica","M",256
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo artistico","M",58
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo classico","M",391
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo delle scienze umane","M",220
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo linguistico","M",130
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo musicale e coreutico","M",9
"2022/2023","Laurea - dm 270/04","L-05","Filosofia","Liceo scientifico","M",590
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Altro diploma","F",2
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione professionale","F",4
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione tecnica","F",23
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo artistico","F",5
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo classico","F",2
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo delle scienze umane","F",8
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo linguistico","F",5
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo scientifico","F",4
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione professionale","M",6
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Diploma di istruzione tecnica","M",21
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo artistico","M",3
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo classico","M",3
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo delle scienze umane","M",8
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo linguistico","M",5
"2022/2023","Laurea - dm 270/04","L-06","Geografia","Liceo scientifico","M",6
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Altro diploma","F",123
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione professionale","F",21
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione tecnica","F",311
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo artistico","F",41
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo classico","F",105
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo delle scienze umane","F",52
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo linguistico","F",80
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo scientifico","F",599
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Altro diploma","M",352
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione professionale","M",109
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Diploma di istruzione tecnica","M",1400
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo artistico","M",13
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo classico","M",85
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo delle scienze umane","M",29
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo linguistico","M",16
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo musicale e coreutico","M",2
"2022/2023","Laurea - dm 270/04","L-07","Ingegneria civile e ambientale","Liceo scientifico","M",1201
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Altro diploma","F",421
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione professionale","F",90
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione tecnica","F",403
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo artistico","F",23
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo classico","F",393
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo delle scienze umane","F",130
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo linguistico","F",212
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo musicale e coreutico","F",8
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo scientifico","F",2425
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Altro diploma","M",1352
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione professionale","M",437
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione tecnica","M",4191
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo artistico","M",32
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo classico","M",359
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo delle scienze umane","M",89
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo linguistico","M",134
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo musicale e coreutico","M",13
"2022/2023","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo scientifico","M",6284
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Altro diploma","F",283
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione professionale","F",132
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione tecnica","F",616
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo artistico","F",32
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo classico","F",634
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo delle scienze umane","F",201
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo linguistico","F",366
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo musicale e coreutico","F",5
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo scientifico","F",3582
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Altro diploma","M",1341
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione professionale","M",724
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione tecnica","M",5310
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo artistico","M",38
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo classico","M",555
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo delle scienze umane","M",108
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo linguistico","M",178
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo musicale e coreutico","M",11
"2022/2023","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo scientifico","M",9872
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Altro diploma","F",270
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Diploma di istruzione professionale","F",300
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Diploma di istruzione tecnica","F",524
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo artistico","F",193
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo classico","F",1945
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo delle scienze umane","F",1437
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo linguistico","F",770
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo musicale e coreutico","F",39
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo scientifico","F",1160
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Altro diploma","M",116
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Diploma di istruzione professionale","M",147
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Diploma di istruzione tecnica","M",452
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo artistico","M",46
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo classico","M",668
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo delle scienze umane","M",210
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo linguistico","M",167
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo musicale e coreutico","M",15
"2022/2023","Laurea - dm 270/04","L-10","Lettere","Liceo scientifico","M",565
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Altro diploma","F",594
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Diploma di istruzione professionale","F",535
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Diploma di istruzione tecnica","F",1233
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo artistico","F",205
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo classico","F",687
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo delle scienze umane","F",703
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo linguistico","F",3066
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo musicale e coreutico","F",16
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo scientifico","F",785
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Altro diploma","M",309
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Diploma di istruzione professionale","M",192
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Diploma di istruzione tecnica","M",499
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo artistico","M",33
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo classico","M",139
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo delle scienze umane","M",89
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo linguistico","M",482
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo musicale e coreutico","M",6
"2022/2023","Laurea - dm 270/04","L-11","Lingue e culture moderne","Liceo scientifico","M",290
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Altro diploma","F",217
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Diploma di istruzione professionale","F",336
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Diploma di istruzione tecnica","F",783
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo artistico","F",70
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo classico","F",367
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo delle scienze umane","F",300
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo linguistico","F",2463
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo musicale e coreutico","F",3
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo scientifico","F",528
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Altro diploma","M",77
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Diploma di istruzione professionale","M",98
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Diploma di istruzione tecnica","M",290
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo artistico","M",12
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo classico","M",67
"2022/2023","Laurea - dm 270/04","L-12","Mediazione linguistica","Liceo delle scienze umane","M",47
